Study,Study_Type,Predictor,Outcome,Feedback_Type,Attribution_Type,Setting,Condition,Design,Score_type,Point_Transformation,N,Cohens_d,Hedges_g,r_effect,Fisher_z,SE_z,VI_z,CI_lower_z,CI_upper_z,CI_lower_r,CI_upper_r,Control_Setting
Schunk & Cox (1986),Experimental,Feedback_Attributional,Attributions_Success_Ability,Attributional,Adaptive,Individual,Performance_Effort,between_groups,change_scores,cohen_d_to_fisher_z,60,0.23586939376347854,0.23280615488343337,0.11712300145760501,0.11766300964644674,0.13245323570650439,0.017543859649122806,-0.14194056197409657,0.3772665812669901,-0.1409949504577308,0.3603312985218348,Individual
Schunk & Cox (1986),Experimental,Feedback_Attributional,Attributions_Success_Effort,Attributional,Adaptive,Individual,Effort_Performance,between_groups,change_scores,cohen_d_to_fisher_z,60,1.0334134830304602,1.0199925287053893,0.459048153077654,0.49610464239798385,0.13245323570650439,0.017543859649122806,0.23650107077744054,0.7557082140185272,0.23218815289514877,0.6385420530970963,Individual
Schunk & Cox (1986),Experimental,Feedback_Attributional,Attributions_Success_Effort,Attributional,Adaptive,Individual,Performance_Effort,between_groups,change_scores,cohen_d_to_fisher_z,60,0.35388983060516765,0.3492938587791265,0.1742382808707746,0.17603434424331296,0.13245323570650439,0.017543859649122806,-0.08356922737723035,0.43563791586385625,-0.08337522527998205,0.41002220535390677,Individual
Schunk & Cox (1986),Experimental,Feedback_Attributional,Attributions_Success_Luck,Attributional,Maladaptive,Individual,Effort_Performance,between_groups,change_scores,cohen_d_to_fisher_z,60,-0.8188952366431184,-0.8082602335698311,-0.3789156124247921,-0.39879285932176767,0.13245323570650439,0.017543859649122806,-0.6583964309423109,-0.13918928770122435,-0.5772952548887211,-0.13829733070829436,Individual
Schunk & Cox (1986),Experimental,Feedback_Attributional,Attributions_Success_Luck,Attributional,Maladaptive,Individual,Performance_Effort,between_groups,change_scores,cohen_d_to_fisher_z,60,-0.9209711329203912,-0.9090104688564901,-0.41826959841247524,-0.44559285097233203,0.13245323570650439,0.017543859649122806,-0.7051964225928753,-0.18598927935178872,-0.607655796477519,-0.18387396263258,Individual
Schunk & Cox (1986),Experimental,Feedback_Attributional,Attributions_Success_Task_Ease,Attributional,Maladaptive,Individual,Effort_Performance,between_groups,change_scores,cohen_d_to_fisher_z,60,-0.30649183726724144,-0.3025114237962383,-0.15147756731905962,-0.15265235771636634,0.13245323570650439,0.017543859649122806,-0.4122559293369097,0.10695121390417697,-0.3903864845069518,0.10654528174586554,Individual
Schunk & Cox (1986),Experimental,Feedback_Attributional,Attributions_Success_Task_Ease,Attributional,Maladaptive,Individual,Performance_Effort,between_groups,change_scores,cohen_d_to_fisher_z,60,-0.43479041360908033,-0.4291437848609104,-0.2124332856307644,-0.21571825768339403,0.13245323570650439,0.017543859649122806,-0.47532182930393735,0.043885313937149284,-0.4424892090872261,0.04385716241132037,Individual
Schunk & Cox (1986),Experimental,Feedback_Attributional,Self-Efficacy,Attributional,,Individual,Effort_Performance,between_groups,change_scores,cohen_d_to_fisher_z,60,0.8197316513486497,0.8090857857467192,0.37924699415652235,0.39917985308234905,0.13245323570650439,0.017543859649122806,0.13957628146180573,0.6587834247028923,0.1386769024338063,0.5775532176674777,Individual
Schunk & Cox (1986),Experimental,Feedback_Attributional,Self-Efficacy,Attributional,,Individual,Performance_Effort,between_groups,change_scores,cohen_d_to_fisher_z,60,0.6654030507683473,0.6567614527064207,0.3156881656091624,0.32685070780895775,0.13245323570650439,0.017543859649122806,0.06724713618841444,0.5864542794295011,0.06714595138988813,0.5273406979335491,Individual
Schunk & Cox (1986),Experimental,Feedback_Attributional,Skill,Attributional,,Individual,Effort_Performance,between_groups,change_scores,cohen_d_to_fisher_z,60,0.7448242193142122,0.7351511775049366,0.34899635606763096,0.36430045768139524,0.13245323570650439,0.017543859649122806,0.10469688606085192,0.6239040293019386,0.104316013132979,0.5538403900152449,Individual
Schunk & Cox (1986),Experimental,Feedback_Attributional,Skill,Attributional,,Individual,Performance_Effort,between_groups,change_scores,cohen_d_to_fisher_z,60,0.5928698813729298,0.5851702725239307,0.28421052631578964,0.2922566697785751,0.13245323570650439,0.017543859649122806,0.0326530981580318,0.5518602413991185,0.03264149792416168,0.5019131254846716,Individual
Craven et al. (1991),Experimental,Feedback_Attributional,Attributions_Failure_Ability,Attributional,Maladaptive,Small_Groups,Researcher,between_groups,post,cohen_d_to_fisher_z,106,-0.17481239661039716,-0.17354869253851476,-0.08707421448895765,-0.08729528425235951,0.0985329278164293,0.009708737864077669,-0.28041627406384584,0.1058257055591268,-0.2732903079219954,0.10543241707354051,Classroom
Craven et al. (1991),Experimental,Feedback_Attributional,Attributions_Failure_Ability,Attributional,Maladaptive,Classroom,Teacher,between_groups,post,cohen_d_to_fisher_z,106,0.010460457067104958,0.010384839305174079,0.005230156997809643,0.00523020468810918,0.0985329278164293,0.009708737864077669,-0.18789078512337715,0.19835119449959548,-0.18571053484188024,0.19579023286429967,Classroom
Craven et al. (1991),Experimental,Feedback_Attributional,Attributions_Failure_Ability,Attributional,Maladaptive,Classroom,Teacher_Researcher,between_groups,post,cohen_d_to_fisher_z,106,-0.20920914134209403,-0.2076967861034765,-0.10403692717823843,-0.10441473802579873,0.0985329278164293,0.009708737864077669,-0.29753572783728505,0.08870625178568758,-0.28905585040984955,0.08847431123752818,Classroom
Craven et al. (1991),Experimental,Feedback_Attributional,Attributions_Failure_Effort,Attributional,Adaptive,Small_Groups,Researcher,between_groups,post,cohen_d_to_fisher_z,106,-0.3448885972415585,-0.3423954266590894,-0.16993611041480178,-0.17160087329284782,0.0985329278164293,0.009708737864077669,-0.36472186310433413,0.0215201165186385,-0.34936638051946123,0.021516795034698687,Classroom
Craven et al. (1991),Experimental,Feedback_Attributional,Attributions_Failure_Effort,Attributional,Adaptive,Classroom,Teacher,between_groups,post,cohen_d_to_fisher_z,106,-0.09775681319335063,-0.09705013743532641,-0.04882012334208785,-0.048858964935334426,0.0985329278164293,0.009708737864077669,-0.24197995474682074,0.1442620248761519,-0.23736502543217886,0.14326951507736022,Classroom
Craven et al. (1991),Experimental,Feedback_Attributional,Attributions_Failure_Effort,Attributional,Adaptive,Classroom,Teacher_Researcher,between_groups,post,cohen_d_to_fisher_z,106,-0.29883778368724867,-0.29667751055216013,-0.14777834791139258,-0.14886841673856185,0.0985329278164293,0.009708737864077669,-0.34198940655004817,0.04425257307292446,-0.3292522958632621,0.044223709221827036,Classroom
Craven et al. (1991),Experimental,Feedback_Attributional,Attributions_Failure_External,Attributional,Maladaptive,Small_Groups,Researcher,between_groups,post,cohen_d_to_fisher_z,106,-0.5518570191424989,-0.547867691293276,-0.2659885154793444,-0.272541928091825,0.0985329278164293,0.009708737864077669,-0.46566291790331127,-0.07942093828033867,-0.4346883828048164,-0.07925437109714066,Classroom
Craven et al. (1991),Experimental,Feedback_Attributional,Attributions_Failure_External,Attributional,Maladaptive,Classroom,Teacher,between_groups,post,cohen_d_to_fisher_z,106,-0.2875632734806582,-0.2854845028289908,-0.14231807997879836,-0.14329078607237586,0.0985329278164293,0.009708737864077669,-0.3364117758838622,0.04983020373911046,-0.3242702221654394,0.04978900104603118,Classroom
Craven et al. (1991),Experimental,Feedback_Attributional,Attributions_Failure_External,Attributional,Maladaptive,Classroom,Teacher_Researcher,between_groups,post,cohen_d_to_fisher_z,106,-0.4173743237192007,-0.41435715993327876,-0.2042862011628772,-0.20720136711805776,0.0985329278164293,0.009708737864077669,-0.4003223569295441,-0.01408037730657144,-0.38022474955934904,-0.014079446869118668,Classroom
Craven et al. (1991),Experimental,Feedback_Attributional,Attributions_Success_Ability,Attributional,Adaptive,Small_Groups,Researcher,between_groups,post,cohen_d_to_fisher_z,106,0.35967707787197084,0.3570770026102458,0.1769990715474835,0.17888299481100584,0.0985329278164293,0.009708737864077669,-0.01423799500048048,0.3720039846224922,-0.014237032967327022,0.3557433325874466,Classroom
Craven et al. (1991),Experimental,Feedback_Attributional,Attributions_Success_Ability,Attributional,Adaptive,Classroom,Teacher,between_groups,post,cohen_d_to_fisher_z,106,-0.17390298032779047,-0.1726458503495173,-0.08662464132058718,-0.08684229425268132,0.0985329278164293,0.009708737864077669,-0.27996328406416765,0.106278695558805,-0.2728710987862913,0.10588035021499245,Classroom
Craven et al. (1991),Experimental,Feedback_Attributional,Attributions_Success_Ability,Attributional,Adaptive,Classroom,Teacher_Researcher,between_groups,post,cohen_d_to_fisher_z,106,0.14237369936287497,0.14134449189760118,0.0710071602496727,0.07112686234799949,0.0985329278164293,0.009708737864077669,-0.12199412746348683,0.2642478521594858,-0.1213925133706513,0.25826438119164213,Classroom
Craven et al. (1991),Experimental,Feedback_Attributional,Attributions_Success_Effort,Attributional,Adaptive,Small_Groups,Researcher,between_groups,post,cohen_d_to_fisher_z,106,0.4588691659734369,0.4555520394724241,0.22362425089601026,0.22746790781393017,0.0985329278164293,0.009708737864077669,0.034346918002443855,0.4205888976254165,0.03433341789646326,0.39742643059303445,Classroom
Craven et al. (1991),Experimental,Feedback_Attributional,Attributions_Success_Effort,Attributional,Adaptive,Classroom,Teacher,between_groups,post,cohen_d_to_fisher_z,106,-0.12148858061010856,-0.12061034990690296,-0.060632530264115046,-0.06070699578696417,0.0985329278164293,0.009708737864077669,-0.2538279855984505,0.13241399402452214,-0.24851363769614648,0.13164549130219308,Classroom
Craven et al. (1991),Experimental,Feedback_Attributional,Attributions_Success_Effort,Attributional,Adaptive,Classroom,Teacher_Researcher,between_groups,post,cohen_d_to_fisher_z,106,0.3323921549842466,0.32998932012893883,0.16394729492255508,0.16544034627079482,0.0985329278164293,0.009708737864077669,-0.027680643540691496,0.35856133608228113,-0.027673575904132126,0.34394619092772827,Classroom
